abrupt	陡峭的; 突然的，意外的; 无理的，唐突的; 不连贯的	英 [əˈbrʌpt]　美 [əˈbrʌpt]　
absurd	荒谬的; 荒唐的; 无理性的，杂乱无章的; 荒诞主义的，荒诞的	英 [əbˈsɜ:d]　美 [əbˈsɜ:rd]　
abundance	丰度; 丰富，充裕; 大量，极多; 盈余	英 [əˈbʌndəns]　美 [əˈbʌndəns]　
accessory	附件; 从犯; （衣服的）配饰; 妇女饰品	英 [əkˈsesəri]　美 [ækˈsɛsəri]　
accommodate	容纳; 使适应; 向…提供住处; 帮忙	英 [əˈkɒmədeɪt]　美 [əˈkɑ:mədeɪt]　
acquaint	使熟悉; 使认识; 把某事通知某人，告知	英 [əˈkweɪnt]　美 [əˈkwent]　
adjoin	邻近，毗连; 接，贴连; 附加，使结合	英 [əˈdʒɔɪn]　美 [əˈdʒɔɪn]　
adolescent	少年，少女	英 [ˌædəˈlesnt]　美 [ˌædə'lesnt]　
adore	崇拜; 爱慕; 非常喜欢; 敬佩	英 [əˈdɔ:(r)]　美 [əˈdɔr, əˈdor]　
affiliate	使隶属于，接纳…为成员; 使紧密联系	英 [əˈfɪlieɪt]　美 [əˈfɪliˌeɪt]　
air-conditioning	空调设备，空调系统	英 ['eərkənd'ɪʃnɪŋ]　美 ['eərkənd'ɪʃnɪŋ]　
allege	断言，宣称，辩解; 提出…作为理由	英 [əˈledʒ]　美 [əˈlɛdʒ]　
alloy	合金; （合金中的）劣等金属; 搀杂品; 成色	英 [ˈælɔɪ]　美 [ˈælˌɔɪ]　
amend	修订; 改良，修改	英 [əˈmend]　美 [əˈmɛnd]　
ammunition	子弹; 弹药，军火; 军需品; 战斗手段	英 [ˌæmjuˈnɪʃn]　美 [ˌæmjəˈnɪʃən]　
ample	足够的; 充足的，丰富的; 宽敞的，广大的; 富裕的	英 [ˈæmpl]　美 [ˈæmpəl]　
angel	安琪儿; 天使，天使般的人; 守护神; 善良可爱的人	英 [ˈeɪndʒl]　美 [ˈendʒəl]　
apparatus	仪器，器械; 机器; 机构，机关; 器官	英 [ˌæpəˈreɪtəs]　美 [ˌæpəˈrætəs]　
arc	综合症状; 弧（度）; 天穹; 电弧，弧光。	英 [ɑ:k]　美 [ɑ:rk]　
arena	竞技场; 表演场地，舞台; 活动或斗争的场所或场面; 古罗马圆形剧场中央的竞技场	英 [əˈri:nə]　美 [əˈrinə]　
armour	装甲; 装甲部队; 甲胄，盔甲; 装甲车辆	英 ['ɑ:mə(r)]　美 [ˈɑrmɚ]　
arrogant	骄；傲慢的，自大的；带有傲慢，出自傲慢；骄慢；	英 [ˈærəgənt]　美 [ˈærəɡənt]　
assert	声称，断言; 维护，坚持; 坚持自己的主张; 生效	英 [əˈsɜ:t]　美 [əˈsɜ:rt]　
assimilate	同化; 吸收， 消化	英 [əˈsɪməleɪt]　美 [əˈsɪməˌlet]　
authorise	授权，批准，委托；	英 ['ɒθəraɪz]　美 ['ɒθəraɪz]　
autonomous	自治的; 有自主权的; [生，植]自发的	英 [ɔ:ˈtɒnəməs]　美 [ɔ:ˈtɑ:nəməs]　
avail	效用，利益	英 [əˈveɪl]　美 [əˈvel]　
bull	公牛; 股市看涨的人; 力大如牛的人; 大型雄性动物	英 [bʊl]　美 [bʊl]　
bulletin	公告，公报; 新闻快报; 小报; 期刊	英 [ˈbʊlətɪn]　美 [ˈbʊlɪtn, -tɪn]　
